Entity1,Relationship,Entity2,Evidence,Evidence URL
RMDR,Innexin,UNC-7,"Altun et al., 2009",http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2732576/table/T3/
RMDR,Receptor,GLR-1,WormAtlas,http://wormatlas.org/neurons/Individual%20Neurons/RMDmainframe.htm
RMDR,type,Motor neuron,WormAtlas,http://wormatlas.org/neurons/Individual%20Neurons/RMDmainframe.htm
RMDVL,Neurotransmitter,Acetylcholine,WormAtlas,http://wormatlas.org/neurons/Individual%20Neurons/RMDmainframe.htm
RMDVL,Innexin,UNC-7,"Altun et al., 2009",http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2732576/table/T3/
RMDVL,Receptor,GLR-1,WormAtlas,http://wormatlas.org/neurons/Individual%20Neurons/RMDmainframe.htm
RMDVL,type,Motor neuron,WormAtlas,http://wormatlas.org/neurons/Individual%20Neurons/RMDmainframe.htm
RMDVR,Neurotransmitter,Acetylcholine,WormAtlas,http://wormatlas.org/neurons/Individual%20Neurons/RMDmainframe.htm
RMDVR,Innexin,UNC-7,"Altun et al., 2009",http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2732576/table/T3/
RMDVR,Receptor,GLR-1,WormAtlas,http://wormatlas.org/neurons/Individual%20Neurons/RMDmainframe.htm
RMDVR,type,Motor neuron,WormAtlas,http://wormatlas.org/neurons/Individual%20Neurons/RMDmainframe.htm
RMED,Neurotransmitter,GABA,WormAtlas,http://wormatlas.org/neurons/Individual%20Neurons/RMEmainframe.htm
RMED,Innexin,UNC-7,"Altun et al., 2009",http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2732576/table/T3/
RMED,Innexin,UNC-9,"Altun et al., 2009",http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2732576/table/T3/
RMED,Receptor,AVR-15,WormAtlas,http://wormatlas.org/neurons/Individual%20Neurons/RMEmainframe.htm
RMED,Receptor,SER-2,WormAtlas,http://wormatlas.org/neurons/Individual%20Neurons/RMEmainframe.htm
RMED,Receptor,GLR-1,WormAtlas,http://wormatlas.org/neurons/Individual%20Neurons/RMEmainframe.htm
RMED,Receptor,PDFR-1,WormAtlas,http://wormatlas.org/neurons/Individual%20Neurons/RMEmainframe.htm
RMED,type,Motor neuron,WormAtlas,http://wormatlas.org/neurons/Individual%20Neurons/RMEmainframe.htm
